,소속회사명,소속회사명,동일인과의관계,동일인과의관계,동일인과의관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의관계,동일인과의관계.1,동일인과의관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
185,비금융회사,롯데쇼핑㈜,동일인측,친족,혈족2~4촌,신동주,133953,0.47%,0,0.00%,133953,0.47%
186,비금융회사,롯데쇼핑㈜,동일인측,친족,혈족2~4촌,신유미,25811,0.09%,0,0.00%,25811,0.09%
187,비금융회사,롯데쇼핑㈜,동일인측,친족,혈족5~6촌,신영우,37,0.00%,0,0.00%,37,0.00%
188,비금융회사,롯데쇼핑㈜,동일인측,친족,인척4촌 이내,박희청,250,0.00%,0,0.00%,250,0.00%
189,비금융회사,롯데쇼핑㈜,동일인측,친족,친족합계,친족합계,632663,2.24%,0,0.00%,632663,2.24%
190,비금융회사,롯데쇼핑㈜,동일인측,비영리법인,,(재)롯데문화재단,1813,0.01%,0,0.00%,1813,0.01%
191,비금융회사,롯데쇼핑㈜,동일인측,비영리법인,,사회복지법인 롯데삼동복지재단,42765,0.15%,0,0.00%,42765,0.15%
192,비금융회사,롯데쇼핑㈜,동일인측,등기된임원,,황각규,58,0.00%,0,0.00%,58,0.00%
193,비금융회사,롯데쇼핑㈜,동일인측,등기된임원,,강희태,224,0.00%,0,0.00%,224,0.00%
194,비금융회사,롯데쇼핑㈜,동일인측,등기된임원,,이원준,267,0.00%,0,0.00%,267,0.00%
195,비금융회사,롯데쇼핑㈜,동일인측,자기주식,,롯데쇼핑㈜,18115,0.06%,0,0.00%,18115,0.06%
196,비금융회사,롯데쇼핑㈜,동일인측,계열회사,,롯데지주㈜,10974799,38.80%,0,0.00%,10974799,38.80%
197,비금융회사,롯데쇼핑㈜,동일인측,계열회사,,㈜호텔롯데,2507158,8.86%,0,0.00%,2507158,8.86%
198,비금융회사,롯데쇼핑㈜,동일인측,계열회사,,㈜부산롯데호텔,220326,0.78%,0,0.00%,220326,0.78%
199,비금융회사,롯데쇼핑㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,17181888,60.74%,0,0.00%,17181888,60.74%
