,계열사명,계열사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열사명,계열사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
90,비 금 융 회 사,㈜이테크 건설,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜유니드,204883.0,7.32%,,,204883.0,7.32%
91,비 금 융 회 사,㈜이테크 건설,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
92,비 금 융 회 사,㈜이테크 건설,동 일 인 측,동일인측 합계,동일인측 합계,,1548977.0,55.32%,,,1548977.0,55.32%
93,비 금 융 회 사,㈜이테크 건설,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
94,비 금 융 회 사,㈜이테크 건설,기타 주주,기타,기타,기타,1251023.0,44.68%,,,1251023.0,44.68%
95,비 금 융 회 사,㈜이테크 건설,총계,총계,총계,,2800000.0,100.00%,,,2800000.0,100.00%
96,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,동일인,동일인,,,,,,,
97,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
98,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
99,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,혈족2~4촌,,,,,,,
100,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,혈족2~4촌,,,,,,,
101,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,혈족5~6촌,,,,,,,
102,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,인척4촌이내,,,,,,,
103,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,친 족,친족합계,,,,,,,
104,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,비영리법인,비영리법인,,,,,,,
105,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
106,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,자기주식,자기주식,,,,,,,
107,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),군장에너지㈜,8596162.0,97.62%,,,8596162.0,97.62%
108,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
109,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
110,비 금 융 회 사,㈜쿼츠테크,동 일 인 측,동일인측 합계,동일인측 합계,,8596162.0,97.62%,,,8596162.0,97.62%
111,비 금 융 회 사,㈜쿼츠테크,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
112,비 금 융 회 사,㈜쿼츠테크,기타 주주,기타,기타,,210000.0,2.38%,,,210000.0,2.38%
