,계열사명,계열사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열사명,계열사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
229,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,27880000.0,100.00%,,,27880000.0,100.00%
230,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
231,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
232,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,동일인측 합계,동일인측 합계,,27880000.0,100.00%,,,27880000.0,100.00%
233,비 금 융 회 사,오씨아이 에스이㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
234,비 금 융 회 사,오씨아이 에스이㈜,기타 주주,기타,기타,,,,,,,
235,비 금 융 회 사,오씨아이 에스이㈜,총계,총계,총계,,27880000.0,100.00%,,,27880000.0,100.00%
236,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,동일인,동일인,,,,,,,
237,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
238,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
239,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
240,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
241,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,친 족,친족합계,,,,,,,
242,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
243,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
244,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,자기주식,자기주식,,,,,,,
245,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,3622000.0,100.00%,,,3622000.0,100.00%
246,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
247,비 금 융 회 사,오씨아이 파워㈜,동 일 인 측,동일인측 합계,동일인측 합계,,3622000.0,100.00%,,,3622000.0,100.00%
248,비 금 융 회 사,오씨아이 파워㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
249,비 금 융 회 사,오씨아이 파워㈜,기타 주주,기타,기타,,,,,,,
250,비 금 융 회 사,오씨아이 파워㈜,총계,총계,총계,,3622000.0,100.00%,,,3622000.0,100.00%
251,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,동일인,동일인,,,,,,,
252,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
253,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
254,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
255,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
256,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,친 족,친족합계,,,,,,,
257,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
258,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
259,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,자기주식,자기주식,,,,,,,
260,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이파워㈜,18000.0,100.00%,,,18000.0,100.00%
261,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
262,비 금 융 회 사,시민햇빛 발전소㈜,동 일 인 측,동일인측 합계,동일인측 합계,,18000.0,100.00%,,,18000.0,100.00%
263,비 금 융 회 사,시민햇빛 발전소㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
264,비 금 융 회 사,시민햇빛 발전소㈜,기타 주주,기타,기타,,,,,,,
265,비 금 융 회 사,시민햇빛 발전소㈜,총계,총계,총계,,18000.0,100.00%,,,18000.0,100.00%
266,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,동일인,동일인,,,,,,,
267,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
268,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
269,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
270,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
271,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,친 족,친족합계,,,,,,,
272,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
273,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
274,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,자기주식,자기주식,,,,,,,
275,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,55360.0,40.00%,,,55360.0,40.00%
276,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
277,비 금 융 회 사,행복도시 태양광발전소㈜,동 일 인 측,동일인측 합계,동일인측 합계,,55360.0,40.00%,,,55360.0,40.00%
278,비 금 융 회 사,행복도시 태양광발전소㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
279,비 금 융 회 사,행복도시 태양광발전소㈜,기타 주주,기타,기타,한국서부발전㈜,38752.0,28.00%,,,38752.0,28.00%
280,비 금 융 회 사,행복도시 태양광발전소㈜,기타 주주,기타,기타,농협은행㈜,36792.0,26.58%,,,36792.0,26.58%
281,비 금 융 회 사,행복도시 태양광발전소㈜,기타 주주,기타,기타,㈜에스티이엔지,7496.0,5.42%,,,7496.0,5.42%
282,비 금 융 회 사,행복도시 태양광발전소㈜,총계,총계,총계,,138400.0,100.00%,,,138400.0,100.00%
283,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,동일인,동일인,,,,,,,
284,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
285,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
286,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
287,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
288,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,친 족,친족합계,,,,,,,
289,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
290,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
291,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,자기주식,자기주식,,,,,,,
292,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,50000.0,50.00%,,,50000.0,50.00%
293,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
294,비 금 융 회 사,비앤오바이오㈜,동 일 인 측,동일인측 합계,동일인측 합계,,50000.0,50.00%,,,50000.0,50.00%
295,비 금 융 회 사,비앤오바이오㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,부광약품㈜,50000.0,50.00%,,,50000.0,50.00%
296,비 금 융 회 사,비앤오바이오㈜,기타 주주,기타,기타,,,,,,,
297,비 금 융 회 사,비앤오바이오㈜,총계,총계,총계,,100000.0,100.00%,,,100000.0,100.00%
298,비 금 융 회 사,오씨아이㈜,동 일 인 측,동일인,동일인,이우현,1202459.0,5.04%,,,1202459.0,5.04%
299,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,배우자/ 혈족1촌,김경자,198123.0,0.83%,,,198123.0,0.83%
300,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,배우자/ 혈족1촌,이선구,104.0,0.00%,,,104.0,0.00%
301,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,배우자/ 혈족1촌,이윤구,104.0,0.00%,,,104.0,0.00%
302,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이지현,451084.0,1.89%,,,451084.0,1.89%
303,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이복영,1198237.0,5.02%,,,1198237.0,5.02%
304,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이정자,150000.0,0.63%,,,150000.0,0.63%
305,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이화영,1295198.0,5.43%,,,1295198.0,5.43%
306,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이우성,116805.0,0.49%,,,116805.0,0.49%
307,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이우연,48946.0,0.21%,,,48946.0,0.21%
308,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이원준,50000.0,0.21%,,,50000.0,0.21%
309,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이우일,44000.0,0.18%,,,44000.0,0.18%
310,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이주연,55246.0,0.23%,,,55246.0,0.23%
311,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족2~4촌,이희현,800.0,0.00%,,,800.0,0.00%
312,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
313,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,인척4촌이내,한상준,600.0,0.00%,,,600.0,0.00%
314,비 금 융 회 사,오씨아이㈜,동 일 인 측,친 족,친족합계,,3609247.0,15.13%,,,3609247.0,15.13%
315,비 금 융 회 사,오씨아이㈜,동 일 인 측,비영리법인,비영리법인,(재)송암문화재단,293086.0,1.23%,,,293086.0,1.23%
316,비 금 융 회 사,오씨아이㈜,동 일 인 측,비영리법인,비영리법인,(학)송도학원,85008.0,0.36%,,,85008.0,0.36%
317,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,배정권,265.0,0.00%,,,265.0,0.00%
318,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,김상열,108.0,0.00%,,,108.0,0.00%
319,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,백우석,7352.0,0.03%,,,7352.0,0.03%
320,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,김택중,96.0,0.00%,,,96.0,0.00%
321,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,김기홍,84.0,0.00%,,,84.0,0.00%
322,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,김유신,39.0,0.00%,,,39.0,0.00%
323,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,조영제,42.0,0.00%,,,42.0,0.00%
324,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,서성원,50.0,0.00%,,,50.0,0.00%
325,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,천문석,35.0,0.00%,,,35.0,0.00%
326,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,이병목,64.0,0.00%,,,64.0,0.00%
327,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,권영만,1100.0,0.00%,,,1100.0,0.00%
328,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,장형규,32.0,0.00%,,,32.0,0.00%
329,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,김한승,21.0,0.00%,,,21.0,0.00%
330,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,김재신,96.0,0.00%,,,96.0,0.00%
331,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,박태하,200.0,0.00%,,,200.0,0.00%
332,비 금 융 회 사,오씨아이㈜,동 일 인 측,등기된 임원,등기된 임원,민흥기,150.0,0.00%,,,150.0,0.00%
333,비 금 융 회 사,오씨아이㈜,동 일 인 측,자기주식,자기주식,,,,,,,
334,비 금 융 회 사,오씨아이㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜유니드,100000.0,0.42%,,,100000.0,0.42%
335,비 금 융 회 사,오씨아이㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
336,비 금 융 회 사,오씨아이㈜,동 일 인 측,동일인측 합계,동일인측 합계,,5299534.0,22.22%,,,5299534.0,22.22%
337,비 금 융 회 사,오씨아이㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
338,비 금 융 회 사,오씨아이㈜,기타 주주,기타,기타,,18549837.0,77.78%,,,18549837.0,77.78%
339,비 금 융 회 사,오씨아이㈜,총계,총계,총계,,23849371.0,100.00%,,,23849371.0,100.00%
340,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,동일인,동일인,,,,,,,
341,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
342,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
343,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
344,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
345,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,친 족,친족합계,,,,,,,
346,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
347,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
348,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,자기주식,자기주식,,,,,,,
349,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,167166.0,50.00%,,,167166.0,50.00%
350,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
351,비 금 융 회 사,오씨아이 페로㈜,동 일 인 측,동일인측 합계,동일인측 합계,,167166.0,50.00%,,,167166.0,50.00%
352,비 금 융 회 사,오씨아이 페로㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,FHCL Limited,167166.0,50.00%,,,167166.0,50.00%
353,비 금 융 회 사,오씨아이 페로㈜,기타 주주,기타,기타,,,,,,,
354,비 금 융 회 사,오씨아이 페로㈜,총계,총계,총계,,334332.0,100.00%,,,334332.0,100.00%
