,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
91,비금융회사,부산컨테이너터미널(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
92,비금융회사,부산컨테이너터미널(주),동일인측,동일인측 합계,동일인측 합계,/,12000000,40.00%,-,-,12000000,40.00%
93,비금융회사,부산컨테이너터미널(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,농협은행(주) (KIAMCO 부산신항 2-4 사모특별자산투자신탁의 신탁업자),12000000,40.00%,-,-,12000000,40.00%
94,비금융회사,부산컨테이너터미널(주),기타주주,기타,기타,/,6000000,20.00%,-,-,6000000,20.00%
95,비금융회사,부산컨테이너터미널(주),총 계,총 계,총 계,/,30000000,100%,-,-,30000000,100%
96,비금융회사,북항아이브리지(주),동일인측,동일인,동일인,-,-,,-,-,-,-
97,비금융회사,북항아이브리지(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
98,비금융회사,북항아이브리지(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
99,비금융회사,북항아이브리지(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
100,비금융회사,북항아이브리지(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
101,비금융회사,북항아이브리지(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
102,비금융회사,북항아이브리지(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
103,비금융회사,북항아이브리지(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
104,비금융회사,북항아이브리지(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
105,비금융회사,북항아이브리지(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),15906000,66.00%,-,-,15906000,66.00%
106,비금융회사,북항아이브리지(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
107,비금융회사,북항아이브리지(주),동일인측,동일인측 합계,동일인측 합계,/,15906000,66.00%,,,15906000,66.00%
108,비금융회사,북항아이브리지(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
109,비금융회사,북항아이브리지(주),기타주주,기타,기타,/,8194000,34.00%,-,-,8194000,34.00%
110,비금융회사,북항아이브리지(주),총 계,총 계,총 계,/,24100000,100%,-,-,24100000,100%
111,비금융회사,서울-춘천고속도로(주),동일인측,동일인,동일인,-,-,,-,-,-,-
112,비금융회사,서울-춘천고속도로(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
113,비금융회사,서울-춘천고속도로(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
114,비금융회사,서울-춘천고속도로(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
115,비금융회사,서울-춘천고속도로(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
116,비금융회사,서울-춘천고속도로(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
117,비금융회사,서울-춘천고속도로(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
118,비금융회사,서울-춘천고속도로(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
119,비금융회사,서울-춘천고속도로(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
120,비금융회사,서울-춘천고속도로(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),7904001,40.00%,-,-,7904001,40.00%
121,비금융회사,서울-춘천고속도로(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
122,비금융회사,서울-춘천고속도로(주),동일인측,동일인측 합계,동일인측 합계,/,7904001,40.00%,,,7904001,40.00%
123,비금융회사,서울-춘천고속도로(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
124,비금융회사,서울-춘천고속도로(주),기타주주,기타,기타,/,11855999,60.00%,-,-,11855999,60.00%
125,비금융회사,서울-춘천고속도로(주),총 계,총 계,총 계,/,19760000,100%,-,-,19760000,100%
126,비금융회사,시흥서울연결도로(주),동일인측,동일인,동일인,-,-,,-,-,-,-
127,비금융회사,시흥서울연결도로(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
128,비금융회사,시흥서울연결도로(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
129,비금융회사,시흥서울연결도로(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
130,비금융회사,시흥서울연결도로(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
131,비금융회사,시흥서울연결도로(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
132,비금융회사,시흥서울연결도로(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
133,비금융회사,시흥서울연결도로(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
134,비금융회사,시흥서울연결도로(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
135,비금융회사,시흥서울연결도로(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨현대산업개발(주),20000,100%,-,-,20000,100%
136,비금융회사,시흥서울연결도로(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
137,비금융회사,시흥서울연결도로(주),동일인측,동일인측 합계,동일인측 합계,/,20000,100%,-,-,20000,100%
138,비금융회사,시흥서울연결도로(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
139,비금융회사,시흥서울연결도로(주),기타주주,기타,기타,/,-,-,-,-,-,-
140,비금융회사,시흥서울연결도로(주),총 계,총 계,총 계,/,20000,100%,-,-,20000,100%
141,비금융회사,아이파크마리나(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
142,비금융회사,아이파크마리나(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
143,비금융회사,아이파크마리나(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
144,비금융회사,아이파크마리나(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
145,비금융회사,아이파크마리나(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
146,비금융회사,아이파크마리나(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
147,비금융회사,아이파크마리나(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
148,비금융회사,아이파크마리나(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
149,비금융회사,아이파크마리나(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
150,비금융회사,아이파크마리나(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),1081360,87.50%,-,-,1081360,87.50%
151,비금융회사,아이파크마리나(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
152,비금융회사,아이파크마리나(주),동일인측,동일인측 합계,동일인측 합계,/,1081360,87.50%,-,-,1081360,87.50%
153,비금융회사,아이파크마리나(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
154,비금융회사,아이파크마리나(주),기타주주,기타,기타,경동건설(주),154480,12.50%,-,-,154480,12.50%
155,비금융회사,아이파크마리나(주),총 계,총 계,총 계,/,1235840,100%,-,-,1235840,100%
156,비금융회사,에이치디씨리조트(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
157,비금융회사,에이치디씨리조트(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
158,비금융회사,에이치디씨리조트(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
159,비금융회사,에이치디씨리조트(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
