,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
37,비금융회사,금호고속관광㈜ [경기],동일인측,친족,혈족5~6촌,,-,,-,,-,
38,비금융회사,금호고속관광㈜ [경기],동일인측,친족,인척 4촌 이내,,-,,-,,-,
39,비금융회사,금호고속관광㈜ [경기],동일인측,친족,친족 합계,,-,,-,,-,
40,비금융회사,금호고속관광㈜ [경기],동일인측,비영리법인,비영리법인,,-,,-,,-,
41,비금융회사,금호고속관광㈜ [경기],동일인측,등기된 임원,등기된 임원,,-,,-,,-,
42,비금융회사,금호고속관광㈜ [경기],동일인측,자기주식,자기주식,,-,,-,,-,
43,비금융회사,금호고속관광㈜ [경기],동일인측,계열회사(국내+해외),계열회사(국내+해외),금호고속㈜,400000,100.00%,-,,400000,100.00%
44,비금융회사,금호고속관광㈜ [경기],동일인측,기타 동일인관련자,기타 동일인관련자,,-,,-,,-,
45,비금융회사,금호고속관광㈜ [경기],동일인측,동일인측 합계,동일인측 합계,,400000,100.00%,-,,400000,100.00%
46,비금융회사,금호고속관광㈜ [경기],기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,-,,-,,-,
47,비금융회사,금호고속관광㈜ [경기],기타주주,기타,기타,,-,,-,,-,
48,비금융회사,금호고속관광㈜ [경기],총 계,총 계,총 계,,400000,100.00%,-,,400000,100.00%
49,비금융회사,금호고속관광㈜ [서울],동일인측,동일인,동일인,,-,,-,,-,
50,비금융회사,금호고속관광㈜ [서울],동일인측,친족,배우자/혈족1촌,,-,,-,,-,
51,비금융회사,금호고속관광㈜ [서울],동일인측,친족,혈족2~4촌,,-,,-,,-,
52,비금융회사,금호고속관광㈜ [서울],동일인측,친족,혈족5~6촌,,-,,-,,-,
53,비금융회사,금호고속관광㈜ [서울],동일인측,친족,인척 4촌 이내,,-,,-,,-,
54,비금융회사,금호고속관광㈜ [서울],동일인측,친족,친족 합계,,-,,-,,-,
55,비금융회사,금호고속관광㈜ [서울],동일인측,비영리법인,비영리법인,,-,,-,,-,
56,비금융회사,금호고속관광㈜ [서울],동일인측,등기된 임원,등기된 임원,,-,,-,,-,
57,비금융회사,금호고속관광㈜ [서울],동일인측,자기주식,자기주식,,-,,-,,-,
58,비금융회사,금호고속관광㈜ [서울],동일인측,계열회사(국내+해외),계열회사(국내+해외),금호티앤아이㈜,400000,100.00%,-,,400000,100.00%
