,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
52,비 금 융 회 사,한화컴파운드㈜,동일인측,자기주식,자기주식,,,-,,,-,-
53,비 금 융 회 사,한화컴파운드㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),한화솔루션㈜,121358,100.00,,,121358,100.00
54,비 금 융 회 사,한화컴파운드㈜,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,,-,-
55,비 금 융 회 사,한화컴파운드㈜,동일인측,동일인측 합계,동일인측 합계,,121358,100.00,-,,121358,100.00
56,비 금 융 회 사,한화컴파운드㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,,-,-
57,비 금 융 회 사,한화컴파운드㈜,기타주주,기타,기타,,,-,,,-,-
58,비 금 융 회 사,한화컴파운드㈜,총계,총계,총계,,121358,100.00,-,,121358,100.00
59,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,동일인,동일인,,,,,,-,-
60,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,배우자/혈족1촌,,,,,,-,-
61,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,배우자/혈족1촌,,,,,,-,-
62,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,배우자/혈족1촌,,,,,,-,-
63,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,배우자/혈족1촌,,,,,,-,-
64,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,혈족2~4촌,,,,,,-,-
65,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,혈족5~6촌,,,,,,-,-
66,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,인척 4촌 이내,,,,,,-,-
67,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,친족,친족 합계,,-,,-,,-,-
68,비 금 융 회 사,한화케미칼오버시즈홀딩스㈜,동일인측,비영리법인,비영리법인,,,,,,-,-
