,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
26,비금융회사,㈜고촌복합개발자산관리,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
27,비금융회사,㈜고촌복합개발자산관리,기타주주,기타,기타,-,10200,51.00%,-,-,10200,51.00%
28,비금융회사,㈜고촌복합개발자산관리,총 계,총 계,총 계,,20000,100.00%,-,-,20000,100.00%
29,비금융회사,㈜대우에스티,동일인측,동일인,동일인,㈜대우건설,4740000,100.00%,-,-,4740000,100.00%
30,비금융회사,㈜대우에스티,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
31,비금융회사,㈜대우에스티,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
32,비금융회사,㈜대우에스티,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
33,비금융회사,㈜대우에스티,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
34,비금융회사,㈜대우에스티,동일인측,친족,친족 합계,-,-,-,-,-,-,-
35,비금융회사,㈜대우에스티,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
36,비금융회사,㈜대우에스티,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
37,비금융회사,㈜대우에스티,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
38,비금융회사,㈜대우에스티,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
39,비금융회사,㈜대우에스티,동일인측,계열회사,계열회사,-,-,-,-,-,-,-
40,비금융회사,㈜대우에스티,동일인측,동일인측 합계,동일인측 합계,-,4740000,100.00%,-,-,4740000,100.00%
41,비금융회사,㈜대우에스티,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
42,비금융회사,㈜대우에스티,기타주주,기타,기타,-,-,-,-,-,-,-
43,비금융회사,㈜대우에스티,총 계,총 계,총 계,-,4740000,100.00%,-,-,4740000,100.00%
44,비금융회사,대우송도호텔㈜,동일인측,동일인,동일인,㈜대우건설,7623000,100.00%,77000,100%,7700000,100.00%
45,비금융회사,대우송도호텔㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
46,비금융회사,대우송도호텔㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
47,비금융회사,대우송도호텔㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
48,비금융회사,대우송도호텔㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
49,비금융회사,대우송도호텔㈜,동일인측,친족,친족 합계,-,-,-,-,-,-,-
50,비금융회사,대우송도호텔㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
51,비금융회사,대우송도호텔㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
52,비금융회사,대우송도호텔㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
53,비금융회사,대우송도호텔㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
54,비금융회사,대우송도호텔㈜,동일인측,계열회사,계열회사,-,-,-,-,-,-,-
55,비금융회사,대우송도호텔㈜,동일인측,동일인측 합계,동일인측 합계,-,7623000,100.00%,77000,100%,7700000,100.00%
56,비금융회사,대우송도호텔㈜,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
57,비금융회사,대우송도호텔㈜,기타주주,기타,기타,-,-,-,-,-,-,-
58,비금융회사,대우송도호텔㈜,총 계,총 계,총 계,-,7623000,100.00%,77000,100%,7700000,100.00%
59,비금융회사,강화조력발전㈜,동일인측,동일인,동일인,㈜대우건설,4600,46.00%,-,-,4600,46.00%
60,비금융회사,강화조력발전㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
61,비금융회사,강화조력발전㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
62,비금융회사,강화조력발전㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
63,비금융회사,강화조력발전㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
64,비금융회사,강화조력발전㈜,동일인측,친족,친족 합계,-,-,-,-,-,-,-
65,비금융회사,강화조력발전㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
66,비금융회사,강화조력발전㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
67,비금융회사,강화조력발전㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
68,비금융회사,강화조력발전㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
69,비금융회사,강화조력발전㈜,동일인측,계열회사,계열회사,-,-,-,-,-,-,-
70,비금융회사,강화조력발전㈜,동일인측,동일인측 합계,동일인측 합계,-,4600,46.00%,-,-,4600,46.00%
71,비금융회사,강화조력발전㈜,기타,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
72,비금융회사,강화조력발전㈜,기타,기타,기타,-,5400,54.00%,-,-,5400,54.00%
73,비금융회사,강화조력발전㈜,총 계,총 계,총 계,-,10000,100.00%,-,-,10000,100.00%
