,계열회사명,계열회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열회사명,계열회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
17,비금융회사,(주)이랜드리테일,동일인측,친족,배우자/혈족1촌,곽숙재,185,0.00%,-,-,185,0.00%
18,비금융회사,(주)이랜드리테일,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
19,비금융회사,(주)이랜드리테일,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
20,비금융회사,(주)이랜드리테일,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
21,비금융회사,(주)이랜드리테일,동일인측,친족합계,친족합계,-,185,0.00%,-,-,185,0.00%
22,비금융회사,(주)이랜드리테일,동일인측,비영리법인,비영리법인,이랜드복지재단,135,0.00%,-,-,135,0.00%
23,비금융회사,(주)이랜드리테일,동일인측,비영리법인,비영리법인,이랜드재단,14,0.00%,-,-,14,0.00%
24,비금융회사,(주)이랜드리테일,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
25,비금융회사,(주)이랜드리테일,동일인측,자기주식,자기주식,㈜이랜드리테일,356578,0.93%,-,-,356578,0.93%
26,비금융회사,(주)이랜드리테일,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,11031200,28.70%,-,-,11031200,28.70%
27,비금융회사,(주)이랜드리테일,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
28,비금융회사,(주)이랜드리테일,동일인측,동일인측 합계,동일인측 합계,-,11389073,29.63%,-,-,11389073,29.63%
29,비금융회사,(주)이랜드리테일,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
30,비금융회사,(주)이랜드리테일,기타주주,기타,기타,기타,27051635,70.37%,-,-,27051635,70.37%
31,비금융회사,(주)이랜드리테일,총계,총계,총계,-,38440708,100.00%,-,-,38440708,100.00%
32,비금융회사,(주)이랜드파크,동일인측,동일인,동일인,-,-,-,-,-,-,-
33,비금융회사,(주)이랜드파크,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
34,비금융회사,(주)이랜드파크,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
35,비금융회사,(주)이랜드파크,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
36,비금융회사,(주)이랜드파크,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
37,비금융회사,(주)이랜드파크,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
38,비금융회사,(주)이랜드파크,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
39,비금융회사,(주)이랜드파크,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
40,비금융회사,(주)이랜드파크,동일인측,자기주식,자기주식,-,-,-,717,17.67%,717,0.01%
41,비금융회사,(주)이랜드파크,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,5836150,51.02%,-,-,5836150,51.00%
42,비금융회사,(주)이랜드파크,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드리테일,5603223,48.98%,263,6.48%,5603486,48.97%
43,비금융회사,(주)이랜드파크,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
44,비금융회사,(주)이랜드파크,동일인측,동일인측 합계,동일인측 합계,-,11439373,100.00%,980,24.15%,11440353,99.97%
45,비금융회사,(주)이랜드파크,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
46,비금융회사,(주)이랜드파크,기타주주,기타,기타,-,-,-,3078,75.85%,3078,0.03%
47,비금융회사,(주)이랜드파크,총계,총계,총계,-,11439373,100.00%,4058,100.00%,11443431,100.00%
48,비금융회사,(주)이월드,동일인측,동일인,동일인,-,-,-,-,-,-,-
49,비금융회사,(주)이월드,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
50,비금융회사,(주)이월드,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
51,비금융회사,(주)이월드,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
52,비금융회사,(주)이월드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
53,비금융회사,(주)이월드,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
